feature,coefficient,abs_coefficient
grade_A,-0.9085761548876351,0.9085761548876351
sub_grade_A1,-0.5826221976144792,0.5826221976144792
purpose_wedding,-0.4804661427564636,0.4804661427564636
grade_B,-0.39697490058475476,0.39697490058475476
home_ownership_MORTGAGE,-0.3476902149417167,0.3476902149417167
verification_status_Not Verified,-0.2945984044422643,0.2945984044422643
term_months,0.2849180300651519,0.2849180300651519
purpose_small_business,0.27679865643149243,0.27679865643149243
sub_grade_A2,-0.25387929277529553,0.25387929277529553
grade_G,0.23264133489299746,0.23264133489299746
grade_F,0.22464411794408706,0.22464411794408706
purpose_car,-0.22199086496395237,0.22199086496395237
sub_grade_B1,-0.21196683245033124,0.21196683245033124
installment,0.21026767907629984,0.21026767907629984
sub_grade_B2,-0.20482409280717387,0.20482409280717387
home_ownership_OWN,-0.19581467025126678,0.19581467025126678
verification_status_Verified,-0.194120680144924,0.194120680144924
grade_E,0.17749118017159324,0.17749118017159324
verification_status_Source Verified,-0.16928832323175,0.16928832323175
fico_avg,-0.15783072811299553,0.15783072811299553
sub_grade_A3,-0.1537824967586341,0.1537824967586341
dti,0.14782504230064586,0.14782504230064586
purpose_house,-0.14762189538169648,0.14762189538169648
sub_grade_C1,-0.13121722884556875,0.13121722884556875
purpose_credit_card,-0.12233086203588714,0.12233086203588714
mort_acc,-0.11801343102487542,0.11801343102487542
sub_grade_B5,0.11551136607873315,0.11551136607873315
open_acc,0.10942706685822448,0.10942706685822448
purpose_medical,0.10736229357655457,0.10736229357655457
total_acc,-0.10593475354546152,0.10593475354546152
sub_grade_A5,0.10420543414595762,0.10420543414595762
home_ownership_RENT,-0.1031724025241446,0.1031724025241446
sub_grade_B3,-0.10056433208035014,0.10056433208035014
annual_inc,-0.0968618998268286,0.0968618998268286
sub_grade_F5,0.09548317724207507,0.09548317724207507
purpose_debt_consolidation,-0.09323210863931311,0.09323210863931311
grade_D,0.09152011498464481,0.09152011498464481
sub_grade_G5,0.08723201199244648,0.08723201199244648
sub_grade_C5,0.08078532259573876,0.08078532259573876
sub_grade_G3,0.07975165112602065,0.07975165112602065
grade_C,-0.07875310034026976,0.07875310034026976
sub_grade_E5,0.07570178245086896,0.07570178245086896
sub_grade_F4,0.07244280412504865,0.07244280412504865
int_rate,0.07088156072226662,0.07088156072226662
sub_grade_C2,-0.06125682160316991,0.06125682160316991
revol_bal,-0.05874751520377628,0.05874751520377628
inq_last_6mths,0.051624284505038635,0.051624284505038635
loan_amnt,-0.050094138137359384,0.050094138137359384
sub_grade_F2,0.0500769809504872,0.0500769809504872
sub_grade_D4,0.04797857865058877,0.04797857865058877
sub_grade_C4,0.04683702099817231,0.04683702099817231
revol_util,-0.044210008773847724,0.044210008773847724
funded_amnt,-0.043983399147008426,0.043983399147008426
sub_grade_F3,0.04057101427761158,0.04057101427761158
credit_history_months,0.034020585107034,0.034020585107034
sub_grade_F1,-0.03392985865113255,0.03392985865113255
sub_grade_E3,0.033506741037726426,0.033506741037726426
sub_grade_D5,0.03268819441183384,0.03268819441183384
sub_grade_G1,0.0315189632190564,0.0315189632190564
purpose_vacation,0.03047535733609722,0.03047535733609722
purpose_other,-0.028460401128042212,0.028460401128042212
sub_grade_E2,0.02812889338466941,0.02812889338466941
sub_grade_G4,0.02666782950098017,0.02666782950098017
purpose_moving,0.026475344879181472,0.026475344879181472
sub_grade_D1,-0.02646225693555121,0.02646225693555121
sub_grade_D3,0.02460676049015367,0.02460676049015367
delinq_2yrs,0.02303216414910702,0.02303216414910702
sub_grade_A4,-0.022497601885668454,0.022497601885668454
sub_grade_E1,0.020819342270363198,0.020819342270363198
sub_grade_E4,0.019334421027966214,0.019334421027966214
sub_grade_C3,-0.013901393485911292,0.013901393485911292
sub_grade_D2,0.012708838367632721,0.012708838367632721
home_ownership_NONE,-0.00966415807312867,0.00966415807312867
emp_length_years,-0.00917524524769419,0.00917524524769419
pub_rec,0.008725009040287035,0.008725009040287035
sub_grade_G2,0.007470879054493643,0.007470879054493643
purpose_home_improvement,-0.00738938514544715,0.00738938514544715
home_ownership_OTHER,-0.00550146769204561,0.00550146769204561
purpose_educational,0.0049130318197043304,0.0049130318197043304
sub_grade_B4,0.004868990673562916,0.004868990673562916
home_ownership_ANY,0.0038355056633792087,0.0038355056633792087
purpose_major_purchase,-0.0033136268969251002,0.0033136268969251002
pub_rec_bankruptcies,0.0022725705204382843,0.0022725705204382843
purpose_renewable_energy,0.0007731950854916337,0.0007731950854916337
