Date,GAU/TRY,USD/TRY,BIST 30 Futures,HST Bond Fund,Balanced Multi-Asset,Conservative / Pension-like,FX & Gold Hedge Tilt
2023-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-04,-0.00040147300132975516,0.0,-0.019821379750296186,0.0,-0.0030707246797921917,-0.0016648266354283292,-0.004855249634175274
2023-05-05,-0.016036356648074013,0.0,-0.04766244418117194,0.0,-0.013814249013725077,-0.008411410802149022,-0.01697522603179835
2023-05-08,-0.013512367469171727,-0.0009120160678784961,-0.0010024605850725843,-0.0005162536239330384,-0.0036113746363800603,-0.0011441957586744156,-0.002201957082574313
2023-05-09,-0.005629180551589785,-0.0007992949808374172,-0.011437163947872087,-0.0005664449484823475,-0.0028798380306656046,-0.0010639511112646716,-0.0033252283920488512
2023-05-10,-0.006706777657871865,0.0,-0.013123120386403064,-9.799258602460892e-05,-0.0029727710811406904,-0.0005386327659266943,-0.003618382265375586
2023-05-11,-0.012741321453051957,0.0,0.0,-0.0010396774370876605,0.0,0.0,0.0
2023-05-12,-0.015093361924020554,0.0,-0.021704450041981294,-0.002402013389133373,-0.005078376421005504,-0.0034351846003223274,-0.007247262282347844
2023-05-15,-0.007854399124851086,0.0,-0.11952141057934496,-0.0031070819958940454,-0.02111644644097377,-0.014678793714798855,-0.03444338573965611
2023-05-16,-0.0176422486533927,0.0,-0.10310663308144408,0.0,-0.017241154244612922,-0.009527441382842228,-0.02654240147963194
2023-05-17,-0.019183562637179685,0.0,-0.0948362720403021,0.0,-0.013585061499588935,-0.00587236125593249,-0.020582456057714693
2023-05-18,-0.02918304134471683,0.0,-0.132787573467674,0.0,-0.024331323410403227,-0.012673302117289564,-0.0342966822120806
2023-05-22,-0.021283515409638576,0.0,-0.13442485306465146,0.0,-0.01954071826398529,-0.008474220468826177,-0.02963187655555788
2023-05-23,-0.018239011816221895,0.0,-0.12363560033585208,-0.0014591484254024012,-0.016021101376255564,-0.005845492402159369,-0.025455779632647557
2023-05-24,-0.023816063121514963,0.0,-0.13501259445843805,-0.004491978119645523,-0.020327594504151336,-0.00826426965638194,-0.03094410122129987
2023-05-25,-0.026530674171203472,0.0,-0.14151973131821993,-0.008725112013120873,-0.022756379706797558,-0.00951541790796695,-0.034423759748123506
2023-05-26,-0.027218469002938672,-5.017083168157299e-05,-0.10092359361880754,-0.009121395651416897,-0.013828898382785115,-0.0027138620425395388,-0.021002345845439474
2023-05-29,-0.02119403983763679,0.0,-0.0743073047858942,-0.00519520977835608,-0.002876406849478208,0.0,-0.00824050215264549
2023-05-30,0.0,0.0,-0.01851385390428195,-0.0028358332035296474,0.0,0.0,0.0
2023-05-31,0.0,0.0,-0.027329974811083013,-0.008846516827165307,0.0,0.0,0.0
2023-06-01,0.0,0.0,-0.024055415617128206,-0.008454814502606656,0.0,0.0,0.0
2023-06-02,-0.0103800054655383,0.0,0.0,-0.015157276500609274,0.0,0.0,0.0
2023-06-05,0.0,0.0,0.0,-0.016298023621253543,0.0,0.0,0.0
2023-06-06,0.0,0.0,0.0,-0.029659425136752238,0.0,0.0,0.0
2023-06-07,0.0,0.0,0.0,-0.02854387524166424,0.0,0.0,0.0
2023-06-08,0.0,-0.005329995095888274,-0.006362147129414519,-0.030080906000604646,0.0,0.0,0.0
2023-06-09,-0.0067169450019829435,0.0,-0.007619337879538279,-0.029730435499683794,0.0,0.0,0.0
2023-06-12,0.0,0.0,-0.018857861251857178,-0.029817480460696877,0.0,0.0,0.0
2023-06-13,-0.009135592197463849,0.0,-0.05649739037677626,-0.03016107899101128,-0.010914285145451563,-0.007619870699115849,-0.013875402554611505
2023-06-14,-0.01134841179902224,-0.0030988717905297003,-0.07470760790887265,-0.02951511375401994,-0.016326079236162694,-0.012374632011572628,-0.02058278777119682
2023-06-15,-0.0006578109179177227,0.0,-0.04693512133795563,-0.028566781810351882,-0.005184341327800324,-0.0033554156332225027,-0.007967528282308733
2023-06-16,-0.003010105209513725,-0.001783781955904229,-0.06141186330907844,-0.028055965328617427,-0.009479993175458223,-0.006905697325414573,-0.013295396277747451
2023-06-19,-0.007170206060443274,-0.0020754429866089996,-0.0942512095698883,-0.02689689295302311,-0.017767487607736054,-0.012913865955184067,-0.024445036981617263
2023-06-20,-0.015204752868283489,-0.004522859461652984,-0.10648024686654722,-0.02625092771603188,-0.02382677654557619,-0.01762269254813653,-0.03068679622172743
2023-06-21,-0.01759392748657229,-0.005507743811713706,-0.11383290792030165,-0.025570602626009076,-0.02644966065452281,-0.019694942006325267,-0.03369009979728599
2023-06-22,0.0,0.0,-0.07421235094670287,-0.025602671822171685,0.0,0.0,0.0
2023-06-23,0.0,0.0,-0.04986856642157811,-0.026608270187558958,0.0,0.0,0.0
2023-06-26,0.0,0.0,-0.024000914320545408,-0.01832296429324054,0.0,0.0,0.0
2023-06-27,-0.006696907431267052,0.0,0.0,-0.01925984295256522,0.0,0.0,0.0
2023-07-03,-0.007769553469234913,-0.0036728791526611237,0.0,-0.016291151650647206,0.0,0.0,0.0
2023-07-04,-0.0021682330605631295,-0.0001846054443221945,-0.003955668008980395,-0.015299297226472608,0.0,0.0,0.0
2023-07-05,-0.0007012500976543157,0.0,0.0,-0.009607014907594746,0.0,0.0,0.0
2023-07-06,-0.003769761798176563,0.0,-0.009509875640087762,-0.00747670401964462,-0.0025493563640812678,-0.001543459355011767,-0.00301308163179681
2023-07-07,0.0,-0.0010390187981886845,-0.006723098895739521,-0.007291160813274855,-0.0009282651649948903,-0.0008447249973199122,-0.001373479432210667
2023-07-10,0.0,0.0,-0.0015675619186955592,-0.00413921696185604,0.0,0.0,0.0
2023-07-11,0.0,-0.003947086054140181,0.0,-0.0038826633925542753,0.0,0.0,0.0
2023-07-12,0.0,0.0,0.0,-0.003969708353567469,0.0,0.0,0.0
2023-07-13,-0.004233550356089966,-0.004982244535602587,-3.429590506875968e-05,-0.003305417861625859,-0.002883234460107631,-0.003242936018561293,-0.001898390757299695
2023-07-14,-0.0011094654377266089,-0.0014349782648624965,0.0,-0.003140490567075105,0.0,-4.684152165934652e-05,0.0
2023-07-17,0.0,0.0,0.0,-0.002251715701994783,0.0,0.0,0.0
2023-07-18,0.0,0.0,-0.03521337908518496,0.0,0.0,0.0,0.0
2023-07-19,-0.00394549989956694,-0.005390304880993457,-0.00503048272645501,0.0,0.0,0.0,0.0
2023-07-20,-0.0060370761375792,-0.007169737022961864,0.0,-0.0007827717401197587,0.0,0.0,0.0
2023-07-21,-0.0062496204565731794,0.0,-0.00980683506686475,-0.0031811479438589307,0.0,0.0,-0.0017456683253255223
2023-07-24,-0.008109383247770774,-0.0018982015282005271,-0.016443784051510812,0.0,-0.0017089718252343289,-0.0014727592725890526,-0.0031747529036916244
2023-07-25,-0.00638275261242649,-0.0030067215612709086,-0.03037807495459821,-0.0004675803398356271,-0.004331996373294955,-0.003871611017896681,-0.007315575174842381
2023-07-26,-0.0029329948195242483,-0.0020464985225912002,-0.006009575697539904,0.0,0.0,0.0,0.0
2023-07-27,-0.01394208984785561,-0.0012494021777414988,0.0,0.0,0.0,0.0,0.0
2023-07-28,-0.010242417306246088,-0.0026915904481906727,0.0,0.0,0.0,0.0,0.0
2023-07-31,-0.006717334740952818,-0.0028695468414594583,0.0,0.0,0.0,0.0,0.0
2023-08-01,-0.010943696776333334,-0.002932573064075461,-0.015716667695918063,-0.00022457728939717647,-0.004685212783822057,-0.0032737793312858088,-0.005847522130576821
2023-08-02,-0.019761366449762563,-0.0006117251018615821,0.0,0.0,-0.0034961957734905846,-0.001169475753646454,-0.002195350228055948
2023-08-03,-0.011941604032269404,-0.00021873806672623175,-0.01664508969853884,0.0,-0.003876100736538768,-0.0018356446486280653,-0.005046740640879066
2023-08-04,-0.01687566858034406,-0.0013272580997963912,0.0,0.0,0.0,0.0,0.0
2023-08-07,-0.017917953221564753,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-08,-0.021896736160094687,0.0,-0.009966777408637828,-0.00020152667653416945,-0.0033881822818108143,-0.0022465480820448303,-0.004017669678985092
