sheet,n_preview_rows,n_preview_columns,non_empty_preview_rows,read_status
01_Cover,20,2,17,ok
02_Assumptions,20,8,17,ok
03_FROTO_Historical,20,9,19,ok
04_Peer_Comps,20,17,17,ok
05_Market_Data,20,11,16,ok
06_DCF_Model,20,8,19,ok
07_Scenarios,17,34,13,ok
08_Sensitivity,19,7,16,ok
09_Charts,9,6,8,ok
10_Output_Summary,20,6,18,ok
11_Source_Log,20,8,19,ok
12_Data_Request,20,8,18,ok
13_DCF_Calibration,20,8,17,ok
14_Operating_Calibration,20,11,18,ok
15_WACC_Calibration,20,6,17,ok
16_Peer_Audit,20,8,16,ok
17_Macro_WACC_Framework,20,8,17,ok
18_Industry_Broker_Check,12,8,11,ok
19_Price_Performance,14,7,14,ok
20_Valuation_Diagnostic,19,8,13,ok
21_Final_Valuation_Summary,20,8,17,ok
22_Model_Audit_Visual_Plan,20,15,19,ok
23_Beta_Sensitivity_Check,20,8,17,ok
24_Charts_for_Memo,20,5,16,ok
25_Report_Charts_Dashboard,14,11,12,ok
26_Appendix_Charts,20,6,14,ok
27_Report_Tables,20,8,19,ok
28_Updated_Charts,18,9,15,ok
29_Appendix_Stress,20,6,7,ok
